Rank,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,Energy Supply,Energy Supply per Capita,% Renewable,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,147887,147512,856806,583858,5.79,162,127191000000.0,93.0,19.75491,2752132089196.58,3552182714426.55,4598205419718.8,5109954035775.98,6100620356557.32,7572554360442.62,8560546868811.69,9607224248684.59,10482371325324.7,11064664793255.7
2,113579,111426,1085684,370574,9.56,259,90838000000.0,286.0,11.57098,13855888000000.0,14477635000000.0,14718582000000.0,14418739000000.0,14964372000000.0,15517926000000.0,16155255000000.0,16691517000000.0,17393103000000.0,18036648000000.0
3,34294,34054,275980,73491,8.05,145,18984000000.0,149.0,10.23282,4530377224970.4,4515264514430.57,5037908465114.48,5231382674593.7,5700098114744.41,6157459594823.72,6203213121334.12,5155717056270.83,4848733415523.53,4383076298081.86
4,24328,23671,278694,52119,11.46,159,7920000000.0,124.0,10.60047,2678277828886.84,3063005202080.83,2875463235294.12,2367127278392.27,2429680444512.61,2608824654243.59,2646002634059.62,2719509472492.7,2998833559195.71,2861090726739.55
5,21450,21183,179494,54929,8.37,132,33195000000.0,26.0,14.96908,920316529729.7471,1201111768410.27,1186952757636.11,1323940295874.06,1656617073124.71,1823049927772.05,1827637859136.23,1856722121394.42,2035393459980.06,2111751098184.5
6,21259,20915,45629,17368,2.15,65,30709000000.0,214.0,17.28868,989930542278.695,1299705247685.76,1660844408499.61,1222643696991.85,1524916112078.87,2031768558635.85,2170143623037.67,2230625004653.55,2063662281005.13,1365865245098.18
7,20898,20640,193676,39615,9.27,140,13261000000.0,165.0,17.90153,3002446368084.31,3439953462907.2,3752365607148.09,3418005001389.27,3417094562648.95,3757698281117.55,3543983909148.01,3752513503278.41,3879276587198.91,3363599907529.78
8,20689,20353,285554,53955,13.8,165,10431000000.0,296.0,61.94543,1315415197461.21,1464977190205.75,1549131208997.19,1371153004986.44,1613464422811.13,1788647906047.76,1824288757447.57,1842628005830.18,1792883225804.38,1552807652015.37
9,15584,15387,173959,37411,11.16,129,10597000000.0,166.0,17.02028,2325011918203.49,2663112510265.54,2923465651091.26,2693827452070.02,2646837111794.78,2862680142625.14,2681416108537.39,2808511203185.39,2849305322684.76,2433562015516.21
10,14037,13952,151281,29670,10.78,116,11007000000.0,221.0,2.279353,1011797457138.5,1122679154632.41,1002219052967.54,901934953364.7109,1094499338702.72,1202463682633.85,1222807284485.31,1305604981271.91,1411333926201.24,1382764027113.82
11,13662,13457,154242,37030,11.29,121,6530000000.0,109.0,33.66723,1942633841801.53,2203053327128.39,2390729210487.77,2185160158794.11,2125058270201.64,2276292459232.78,2072823111961.1,2130491269673.44,2151732834411.5,1824902219021.73
12,11002,10886,167492,31489,15.22,130,4923000000.0,106.0,37.96859,1264551499184.54,1479341637010.68,1634989014208.29,1499074742984.16,1431587612302.26,1488017213511.01,1335945712662.3,1361775869855.87,1375856057716.82,1192955480686.43
14,10616,10496,129788,22759,12.23,123,5386000000.0,231.0,11.81081,747572626534.891,853764622752.61,1055334825425.25,927168310999.853,1142876772659.21,1390557034407.97,1538194473087.23,1567178619062.28,1459597906912.7,1345383143356.35
15,10599,10521,84010,20271,7.93,97,12149000000.0,59.0,69.64803,1107640325472.35,1397084381901.29,1695824517395.57,1667019605881.76,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993200170.0,1803652649613.75
